    1     0.38607770
    2     0.63572532
    3     0.48727867
    4     0.69916868
    5     0.31916821
    6     0.80599827
    7     0.52236444
    8     0.84446484
    9     1.05773032
   10     0.84814572
   11     1.19835544
   12     1.30051410
   13     1.21973705
   14     1.42438233
   15     1.47491217
   16     1.67715681
   17     1.73643076
   18     1.37940681
   19     1.44998133
   20     1.63224280
   21     1.55284512
   22     1.37369430
   23     1.44020116
   24     1.44729376
   25     2.03918839
   26     1.56524169
   27     1.66717029
   28     1.46689117
   29     1.63752460
   30     1.61509526
   31     1.88876295
   32     1.55764782
   33     1.90863800
   34     1.65504110
   35     1.93978322
   36     1.46189797
   37     1.70566833
   38     1.51339746
   39     1.49737692
   40     1.64437175
   41     1.94317234
   42     1.56919229
   43     1.47780848
   44     1.53882825
   45     1.53012061
   46     1.70986271
   47     1.59235620
   48     1.59429753
   49     1.71738636
   50     1.50370407
   51     1.62086642
   52     1.92107546
   53     1.34982491
   54     1.67163253
   55     1.67951035
   56     1.33206093
   57     1.38109207
   58     1.99444640
   59     1.87957883
   60     1.84789836
   61     1.90449619
   62     1.24792016
   63     1.45246661
   64     1.72856760
   65     1.53117776
   66     1.78405285
   67     1.47157872
   68     1.54337215
   69     1.83386111
   70     1.43990171
   71     1.56426847
   72     1.44671988
   73     2.03235364
   74     1.72335577
   75     1.61398220
